,Date,TL value in USD
0,2021-01-15,7.4386702961
1,2020-10-07,7.8778249788
2,2020-06-29,6.8549273307
3,2020-03-21,6.5196600355
4,2019-12-12,5.7816288049
5,2019-09-03,5.754503063
6,2019-05-26,6.077411281
7,2019-02-15,5.268383659
8,2018-11-07,5.341429442
9,2018-07-30,4.8851420746
